TimeInterval,GantryID,Direction,VehicleType,交通量
2024-02-27 13:35,新竹(北)-新竹(南),南下,大貨車,20
2024-02-27 13:35,新竹(北)-新竹(南),南下,聯結車,14
2024-02-27 13:35,新竹(南)-新竹(北),北上,小客車,143
2024-02-27 13:35,新竹(南)-新竹(北),北上,小貨車,61
2024-02-27 13:35,新竹(南)-新竹(北),北上,大客車,2
2024-02-27 13:35,新竹(南)-新竹(北),北上,大貨車,29
2024-02-27 13:35,新竹(南)-新竹(北),北上,聯結車,22
2024-02-27 13:35,新竹系統-新竹(南),北上,小客車,224
2024-02-27 13:35,新竹系統-新竹(南),北上,小貨車,81
2024-02-27 13:35,新竹系統-新竹(南),北上,大客車,5
2024-02-27 13:35,新竹系統-新竹(南),北上,大貨車,31
2024-02-27 13:35,新竹系統-新竹(南),北上,聯結車,19
2024-02-27 13:35,新竹(南)-新竹系統,南下,小客車,224
2024-02-27 13:35,新竹(南)-新竹系統,南下,小貨車,84
2024-02-27 13:35,新竹(南)-新竹系統,南下,大客車,8
2024-02-27 13:35,新竹(南)-新竹系統,南下,大貨車,25
2024-02-27 13:35,新竹(南)-新竹系統,南下,聯結車,19
2024-02-27 13:35,頭份-新竹系統,北上,小客車,184
2024-02-27 13:35,頭份-新竹系統,北上,小貨車,65
2024-02-27 13:35,頭份-新竹系統,北上,大客車,3
2024-02-27 13:35,頭份-新竹系統,北上,大貨車,22
2024-02-27 13:35,頭份-新竹系統,北上,聯結車,16
2024-02-27 13:35,新竹系統-頭份,南下,小客車,178
2024-02-27 13:35,新竹系統-頭份,南下,小貨車,51
2024-02-27 13:35,新竹系統-頭份,南下,大客車,5
2024-02-27 13:35,新竹系統-頭份,南下,大貨車,15
2024-02-27 13:35,新竹系統-頭份,南下,聯結車,14
2024-02-27 13:35,頭屋-頭份,北上,小客車,143
2024-02-27 13:35,頭屋-頭份,北上,小貨車,43
2024-02-27 13:35,頭屋-頭份,北上,大客車,3
2024-02-27 13:35,頭屋-頭份,北上,大貨車,20
2024-02-27 13:35,頭屋-頭份,北上,聯結車,9
2024-02-27 13:35,頭份-頭屋,南下,小客車,152
2024-02-27 13:35,頭份-頭屋,南下,小貨車,38
2024-02-27 13:35,頭份-頭屋,南下,大客車,6
2024-02-27 13:35,頭份-頭屋,南下,大貨車,24
2024-02-27 13:35,頭份-頭屋,南下,聯結車,8
2024-02-27 13:35,苗栗-頭屋,北上,小客車,108
2024-02-27 13:35,苗栗-頭屋,北上,小貨車,39
2024-02-27 13:35,苗栗-頭屋,北上,大客車,6
2024-02-27 13:35,苗栗-頭屋,北上,大貨車,17
2024-02-27 13:35,苗栗-頭屋,北上,聯結車,17
2024-02-27 13:35,頭屋-苗栗,南下,小客車,145
2024-02-27 13:35,頭屋-苗栗,南下,小貨車,54
2024-02-27 13:35,頭屋-苗栗,南下,大客車,5
2024-02-27 13:35,頭屋-苗栗,南下,大貨車,15
2024-02-27 13:35,頭屋-苗栗,南下,聯結車,4
2024-02-27 13:35,銅鑼-苗栗,北上,小客車,144
2024-02-27 13:35,銅鑼-苗栗,北上,小貨車,60
2024-02-27 13:35,銅鑼-苗栗,北上,大客車,2
2024-02-27 13:35,銅鑼-苗栗,北上,大貨車,10
2024-02-27 13:35,銅鑼-苗栗,北上,聯結車,9
2024-02-27 13:35,苗栗-銅鑼,南下,小客車,145
2024-02-27 13:35,苗栗-銅鑼,南下,小貨車,44
2024-02-27 13:35,苗栗-銅鑼,南下,大客車,7
2024-02-27 13:35,苗栗-銅鑼,南下,大貨車,15
2024-02-27 13:35,苗栗-銅鑼,南下,聯結車,11
2024-02-27 13:35,三義-銅鑼,北上,小客車,133
2024-02-27 13:35,三義-銅鑼,北上,小貨車,53
2024-02-27 13:35,三義-銅鑼,北上,大客車,3
2024-02-27 13:35,三義-銅鑼,北上,大貨車,17
2024-02-27 13:35,三義-銅鑼,北上,聯結車,4
2024-02-27 13:35,銅鑼-三義,南下,小客車,153
2024-02-27 13:35,銅鑼-三義,南下,小貨車,58
2024-02-27 13:35,銅鑼-三義,南下,大客車,5
2024-02-27 13:35,銅鑼-三義,南下,大貨車,24
2024-02-27 13:35,銅鑼-三義,南下,聯結車,6
2024-02-27 13:35,后里-三義,北上,小客車,120
2024-02-27 13:35,后里-三義,北上,小貨車,57
2024-02-27 13:35,后里-三義,北上,大客車,5
2024-02-27 13:35,后里-三義,北上,大貨車,26
2024-02-27 13:35,后里-三義,北上,聯結車,14
2024-02-27 13:35,三義-后里,南下,小客車,128
2024-02-27 13:35,三義-后里,南下,小貨車,41
2024-02-27 13:35,三義-后里,南下,大客車,5
2024-02-27 13:35,三義-后里,南下,大貨車,19
2024-02-27 13:35,三義-后里,南下,聯結車,14
2024-02-27 13:35,台中系統-后里,北上,小客車,151
2024-02-27 13:35,台中系統-后里,北上,小貨車,65
2024-02-27 13:35,台中系統-后里,北上,大客車,4
2024-02-27 13:35,台中系統-后里,北上,大貨車,18
2024-02-27 13:35,台中系統-后里,北上,聯結車,13
2024-02-27 13:35,后里-台中系統,南下,小客車,188
2024-02-27 13:35,后里-台中系統,南下,小貨車,73
2024-02-27 13:35,后里-台中系統,南下,大客車,5
2024-02-27 13:35,后里-台中系統,南下,大貨車,23
2024-02-27 13:35,后里-台中系統,南下,聯結車,8
2024-02-27 13:35,豐原-台中系統,北上,小客車,195
2024-02-27 13:35,豐原-台中系統,北上,小貨車,74
2024-02-27 13:35,豐原-台中系統,北上,大客車,5
2024-02-27 13:35,豐原-台中系統,北上,大貨車,22
2024-02-27 13:35,豐原-台中系統,北上,聯結車,19
2024-02-27 13:35,台中系統-豐原,南下,小客車,241
2024-02-27 13:35,台中系統-豐原,南下,小貨車,90
2024-02-27 13:35,台中系統-豐原,南下,大客車,5
2024-02-27 13:35,台中系統-豐原,南下,大貨車,32
2024-02-27 13:35,台中系統-豐原,南下,聯結車,11
2024-02-27 13:35,大雅-豐原,北上,小客車,208
2024-02-27 13:35,大雅-豐原,北上,小貨車,64
2024-02-27 13:35,大雅-豐原,北上,大客車,8
2024-02-27 13:35,大雅-豐原,北上,大貨車,20
2024-02-27 13:35,大雅-豐原,北上,聯結車,21
2024-02-27 13:35,豐原-大雅,南下,小客車,218
2024-02-27 13:35,豐原-大雅,南下,小貨車,93
2024-02-27 13:35,豐原-大雅,南下,大客車,8
2024-02-27 13:35,豐原-大雅,南下,大貨車,31
2024-02-27 13:35,豐原-大雅,南下,聯結車,9
2024-02-27 13:35,台中-大雅,北上,小客車,178
2024-02-27 13:35,台中-大雅,北上,小貨車,66
2024-02-27 13:35,台中-大雅,北上,大客車,3
2024-02-27 13:35,台中-大雅,北上,大貨車,28
2024-02-27 13:35,台中-大雅,北上,聯結車,19
2024-02-27 13:35,大雅-台中,南下,小客車,201
2024-02-27 13:35,大雅-台中,南下,小貨車,83
2024-02-27 13:35,大雅-台中,南下,大客車,6
